文件名,参考文本,标准化参考,标准化识别,参考字数,识别字数,错误字数,字错率,音频时长(秒),处理时间(秒),识别速度(字/秒),实时率(RTF),原始结果
BAC009S0002W0122.wav,而 对 楼市 成交 抑制 作用 最 大 的 限 购,而对楼市成交抑制作用最大的限购,而对面楼市成交抑制作用最大的限购,15,16,1,0.066666667,5.999,0.807158232,19.82263126,0.134548797,<|zh|><|NEUTRAL|><|Speech|><|withitn|>而对面楼市成交抑制作用最大的限购。
BAC009S0002W0123.wav,也 成为 地方 政府 的 眼中 钉,也成为地方政府的眼中钉,也成为地方政府的眼中钉,11,11,0,0,3.865,0.082393169,133.5062127,0.021317767,<|zh|><|NEUTRAL|><|Speech|><|withitn|>也成为地方政府的眼中钉。
BAC009S0002W0124.wav,自 六月 底 呼和浩特 市 率先 宣布 取消 限 购 后,自六月底呼和浩特市率先宣布取消限购后,自月底呼和浩特市率先宣布取消限购后,18,17,1,0.055555556,5.409,0.081446886,208.7249841,0.015057661,<|zh|><|NEUTRAL|><|Speech|><|withitn|>自6月底，呼和浩特市率先宣布取消限购后。
BAC009S0002W0125.wav,各地 政府 便 纷纷 跟进,各地政府便纷纷跟进,各地政府便纷纷跟进,9,9,0,0,3.167,0.074736834,120.422549,0.023598621,<|zh|><|NEUTRAL|><|Speech|><|withitn|>各地政府便纷纷跟进。
BAC009S0002W0126.wav,仅 一 个 多 月 的 时间 里,仅一个多月的时间里,仅一个多月的时间里,9,9,0,0,2.576,0.082790375,108.7082892,0.032139121,<|zh|><|NEUTRAL|><|Speech|><|withitn|>仅一个多月的时间里。
BAC009S0002W0127.wav,除了 北京 上海 广州 深圳 四 个 一 线 城市 和 三亚 之外,除了北京上海广州深圳四个一线城市和三亚之外,除了北京上海广州深圳个一线城市和三亚之外,21,20,1,0.047619048,5.89,0.08366251,239.0557015,0.014204161,<|zh|><|NEUTRAL|><|Speech|><|withitn|>除了北京、上海、广州、深圳4个一线城市和三亚之外。
BAC009S0002W0128.wav,四十六 个 限 购 城市 当中,四十六个限购城市当中,个限购城市当中,10,7,3,0.3,3.393,0.074249029,94.27732698,0.021883003,<|zh|><|NEUTRAL|><|Speech|><|withitn|>46个限购城市当中。
BAC009S0002W0129.wav,四十一 个 已 正式 取消 或 变相 放松 了 限 购,四十一个已正式取消或变相放松了限购,个已正式取消货变相放松了限购,17,14,4,0.235294118,6.136,0.087211847,160.5286487,0.014213143,<|zh|><|NEUTRAL|><|Speech|><|withitn|>41个已正式取消货。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>变相放松了限购。
BAC009S0002W0130.wav,财政 金融 政策 紧随 其后 而来,财政金融政策紧随其后而来,财政金融政策紧随其候而来,12,12,1,0.083333333,4.13,0.0764184,157.0302444,0.018503245,<|zh|><|NEUTRAL|><|Speech|><|withitn|>财政金融政策紧随其候而来。
BAC009S0002W0131.wav,显示 出 了 极 强 的 威力,显示出了极强的威力,显示出了极强的威力,9,9,0,0,4.406,0.080264091,112.1298433,0.018216998,<|zh|><|NEUTRAL|><|Speech|><|withitn|>显示出。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>了极强的威力。
